timestamp,BVP
1632843903.61992,19.82092
1632843903.63554,21.63562
1632843903.65117,23.17236
1632843903.66679,23.94666
1632843903.68242,23.7243
1632843903.69804,22.69519
1632843903.71367,21.4436
1632843903.7293,20.60632
1632843903.74492,20.51544
1632843903.76055,20.95984
1632843903.77617,21.28821
1632843903.7918,20.67108
1632843903.80742,18.42944
1632843903.82305,14.27911
1632843903.83868,8.3479
1632843903.8543,1.102966
1632843903.86993,-6.806641
1632843903.88555,-14.63971
1632843903.90118,-21.69257
1632843903.9168,-27.36163
1632843903.93243,-31.22821
1632843903.94806,-33.14758
1632843903.96368,-33.21521
1632843903.97931,-31.76459
1632843903.99493,-29.23431
1632843904.01056,-26.09924
1632843904.02618,-22.79797
1632843904.04181,-19.64392
1632843904.05744,-16.76636
1632843904.07306,-14.14148
1632843904.08869,-11.65479
1632843904.10431,-9.233765
1632843904.11994,-6.973572
1632843904.13556,-5.027893
1632843904.15119,-3.489563
1632843904.16682,-2.189514
1632843904.18244,-0.6762695
1632843904.19807,1.590515
1632843904.21369,5.008179
1632843904.22932,9.579102
1632843904.24494,14.96722
1632843904.26057,20.67108
1632843904.2762,26.26929
1632843904.29182,31.51501
1632843904.30745,36.19885
1632843904.32307,39.93164
1632843904.3387,42.0744
1632843904.35432,41.90869
1632843904.36995,39.03271
1632843904.38558,33.742
1632843904.4012,27.04376
1632843904.41683,20.32971
1632843904.43245,14.80627
1632843904.44808,11.05353
1632843904.4637,8.926147
1632843904.47933,7.799011
1632843904.49496,7.001099
1632843904.51058,6.138062
1632843904.52621,5.153625
1632843904.54183,4.189392
1632843904.55746,3.357117
1632843904.57308,2.617676
1632843904.58871,1.823792
1632843904.60434,0.8579102
1632843904.61996,-0.2764893
1632843904.63559,-1.455566
1632843904.65121,-2.558655
1632843904.66684,-3.514771
1632843904.68246,-4.412231
1632843904.69809,-5.427124
1632843904.71372,-6.736023
1632843904.72934,-8.460083
1632843904.74497,-10.58386
1632843904.76059,-12.93921
1632843904.77622,-15.22168
1632843904.79184,-17.06604
1632843904.80747,-18.16547
1632843904.8231,-18.38812
1632843904.83872,-17.79968
1632843904.85435,-16.63422
1632843904.86997,-15.16296
1632843904.8856,-13.58521
1632843904.90122,-11.9939
1632843904.91685,-10.43079
1632843904.93248,-8.957031
1632843904.9481,-7.723816
1632843904.96373,-6.955017
1632843904.97935,-6.850281
1632843904.99498,-7.491516
1632843905.0106,-8.818909
1632843905.02623,-10.63379
1632843905.04186,-12.65332
1632843905.05748,-14.58234
1632843905.07311,-16.12646
1632843905.08873,-17.0199
1632843905.10436,-17.07355
1632843905.11998,-16.19788
1632843905.13561,-14.44025
1632843905.15124,-11.99536
1632843905.16686,-9.167175
1632843905.18249,-6.314636
1632843905.19811,-3.776245
1632843905.21374,-1.765381
1632843905.22936,-0.3517456
1632843905.24499,0.5351563
1632843905.26062,1.033875
1632843905.27624,1.269531
1632843905.29187,1.332947
1632843905.30749,1.293457
1632843905.32312,1.336487
1632843905.33874,1.748596
1632843905.35437,2.935242
1632843905.37,5.178894
1632843905.38562,8.497131
1632843905.40125,12.52667
1632843905.41687,16.58923
1632843905.4325,19.91766
1632843905.44812,21.95258
1632843905.46375,22.46899
1632843905.47938,21.64777
1632843905.495,19.93341
1632843905.51063,17.89569
1632843905.52625,16.11066
1632843905.54188,15.07343
1632843905.5575,15.12805
1632843905.57313,16.40656
1632843905.58876,18.79132
1632843905.60438,21.89948
1632843905.62001,25.16766
1632843905.63563,27.97034
1632843905.65126,29.76575
1632843905.66688,30.23193
1632843905.68251,29.26648
1632843905.69814,27.00098
1632843905.71376,23.69537
1632843905.72939,19.70465
1632843905.74501,15.36865
1632843905.76064,10.94763
1632843905.77627,6.591492
1632843905.79189,2.300659
1632843905.80752,-2.026306
1632843905.82314,-6.453918
1632843905.83877,-10.93475
1632843905.85439,-15.20648
1632843905.87002,-18.84143
1632843905.88565,-21.38208
1632843905.90127,-22.54364
1632843905.9169,-22.33191
1632843905.93252,-21.10687
1632843905.94815,-19.41718
1632843905.96377,-17.84167
1632843905.9794,-16.76355
1632843905.99503,-16.3045
1632843906.01065,-16.36292
1632843906.02628,-16.77289
1632843906.0419,-17.42548
1632843906.05753,-18.30829
1632843906.07315,-19.47137
1632843906.08878,-20.89801
1632843906.10441,-22.46588
1632843906.12003,-23.96222
1632843906.13566,-25.15118
1632843906.15128,-25.92358
1632843906.16691,-26.33386
1632843906.18253,-26.52856
1632843906.19816,-26.64996
1632843906.21379,-26.72327
1632843906.22941,-26.65405
1632843906.24504,-26.3103
1632843906.26066,-25.67072
1632843906.27629,-24.8512
1632843906.29191,-24.07843
1632843906.30754,-23.57867
1632843906.32317,-23.40173
1632843906.33879,-23.43573
1632843906.35442,-23.42804
1632843906.37004,-23.13263
1632843906.38567,-22.37872
1632843906.40129,-21.12408
1632843906.41692,-19.43469
1632843906.43255,-17.40253
1632843906.44817,-15.1272
1632843906.4638,-12.67804
1632843906.47942,-10.08655
1632843906.49505,-7.360229
1632843906.51067,-4.506653
1632843906.5263,-1.590637
1632843906.54193,1.237427
1632843906.55755,3.76416
1632843906.57318,5.732849
1632843906.5888,7.002563
1632843906.60443,7.57605
1632843906.62005,7.609863
1632843906.63568,7.363342
1632843906.65131,7.080505
1632843906.66693,6.936523
1632843906.68256,7.010559
1632843906.69818,7.26062
1632843906.71381,7.582092
1632843906.72943,7.804504
1632843906.74506,7.720581
1632843906.76069,7.144714
1632843906.77631,5.991516
1632843906.79194,4.372498
1632843906.80756,2.587402
1632843906.82319,1.020203
1632843906.83881,-0.001831055
1632843906.85444,-0.3461304
1632843906.87007,-0.1293335
1632843906.88569,0.3587036
1632843906.90132,0.7825317
1632843906.91694,0.8898315
1632843906.93257,0.6060181
1632843906.94819,0.003479004
1632843906.96382,-0.7585449
1632843906.97945,-1.522156
1632843906.99507,-2.183044
1632843907.0107,-2.694946
1632843907.02632,-3.081787
1632843907.04195,-3.340454
1632843907.05757,-3.465698
1632843907.0732,-3.44043
1632843907.08883,-3.254883
1632843907.10445,-2.955627
1632843907.12008,-2.657104
1632843907.1357,-2.506531
1632843907.15133,-2.626465
1632843907.16695,-3.046509
1632843907.18258,-3.644409
1632843907.19821,-4.209839
1632843907.21383,-4.471802
1632843907.22946,-4.238892
1632843907.24508,-3.421997
1632843907.26071,-2.085327
1632843907.27633,-0.3949585
1632843907.29196,1.459351
1632843907.30759,3.313599
1632843907.32321,5.078064
1632843907.33884,6.702942
1632843907.35446,8.19104
1632843907.37009,9.502014
1632843907.38571,10.58246
1632843907.40134,11.32312
1632843907.41697,11.61627
1632843907.43259,11.41498
1632843907.44822,10.75128
1632843907.46384,9.802002
1632843907.47947,8.794495
1632843907.49509,7.981445
1632843907.51072,7.485657
1632843907.52635,7.297363
1632843907.54197,7.264893
1632843907.5576,7.186646
1632843907.57322,6.965271
1632843907.58885,6.648926
1632843907.60447,6.443359
1632843907.6201,6.53894
1632843907.63573,7.016418
1632843907.65135,7.658447
1632843907.66698,8.150635
1632843907.6826,8.165955
1632843907.69823,7.579285
1632843907.71385,6.532288
1632843907.72948,5.350037
1632843907.74511,4.386719
1632843907.76073,3.806641
1632843907.77636,3.576111
1632843907.79198,3.423828
1632843907.80761,3.062866
1632843907.82323,2.29187
1632843907.83886,1.104248
1632843907.85449,-0.3094482
1632843907.87011,-1.698608
1632843907.88574,-2.859558
1632843907.90136,-3.754944
1632843907.91699,-4.46936
1632843907.93261,-5.142822
1632843907.94824,-5.857178
1632843907.96387,-6.584106
1632843907.97949,-7.264343
1632843907.99512,-7.853088
1632843908.01074,-8.41571
1632843908.02637,-9.038818
1632843908.042,-9.765076
1632843908.05762,-10.42908
1632843908.07325,-10.70721
1632843908.08887,-10.23767
1632843908.1045,-8.834778
1632843908.12012,-6.637268
1632843908.13575,-4.042175
1632843908.15138,-1.568481
1632843908.167,0.4194336
1632843908.18263,1.81427
1632843908.19825,2.757446
1632843908.21388,3.493286
1632843908.2295,4.184143
1632843908.24513,4.855713
1632843908.26076,5.392273
1632843908.27638,5.675476
1632843908.29201,5.632507
1632843908.30763,5.311096
1632843908.32326,4.814026
1632843908.33888,4.225708
1632843908.35451,3.590515
1632843908.37014,2.890869
1632843908.38576,2.117126
1632843908.40139,1.323792
1632843908.41701,0.6491089
1632843908.43264,0.2695923
1632843908.44826,0.3053589
1632843908.46389,0.767395
1632843908.47952,1.50415
1632843908.49514,2.301819
1632843908.51077,2.97644
1632843908.52639,3.47998
1632843908.54202,3.87561
1632843908.55764,4.291016
1632843908.57327,4.777893
1632843908.5889,5.279053
1632843908.60452,5.65863
1632843908.62015,5.746826
1632843908.63577,5.473877
1632843908.6514,4.869202
1632843908.66702,4.055908
1632843908.68265,3.184631
1632843908.69828,2.365051
1632843908.7139,1.685913
